;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;BUSINESSPARTNERID2;ISMAINCARD2;CARDSTATUS2;APPLICATIONDATE2;APPROVALDATE2;ISSUEDATE2;DEBITCARDAGREEMENT_1;BUSINESSPARTNER_1
1;100001321;CARDSYSTEM;1;6321;1;active;22.09.2013;22.09.2013;28.09.2013;100001321;6321
2;100001322;CARDSYSTEM;1;6322;1;active;05.10.2012;05.10.2012;12.10.2012;100001322;6322
3;100001323;CARDSYSTEM;1;6323;1;active;01.05.2012;01.05.2012;09.05.2012;100001323;6323
4;100001324;CARDSYSTEM;1;6324;1;active;30.12.2016;30.12.2016;08.01.2017;100001324;6324
5;100001325;CARDSYSTEM;1;6325;1;active;29.01.2014;29.01.2014;06.02.2014;100001325;6325
6;100001326;CARDSYSTEM;1;6326;1;active;13.05.2013;13.05.2013;19.05.2013;100001326;6326
7;100001327;CARDSYSTEM;1;6327;1;active;18.01.2016;18.01.2016;23.01.2016;100001327;6327
8;100001328;CARDSYSTEM;1;6328;1;active;19.06.2012;19.06.2012;24.06.2012;100001328;6328
9;100001329;CARDSYSTEM;1;6329;1;active;19.01.2013;19.01.2013;28.01.2013;100001329;6329
10;100001330;CARDSYSTEM;1;6330;1;active;26.02.2016;26.02.2016;06.03.2016;100001330;6330
11;100001331;CARDSYSTEM;1;6331;1;active;06.01.2017;06.01.2017;12.01.2017;100001331;6331
12;100001332;CARDSYSTEM;1;6332;1;active;27.03.2015;27.03.2015;05.04.2015;100001332;6332
13;100001333;CARDSYSTEM;1;6333;1;active;04.12.2016;04.12.2016;11.12.2016;100001333;6333
14;100001334;CARDSYSTEM;1;6334;1;active;03.09.2015;03.09.2015;12.09.2015;100001334;6334
15;100001335;CARDSYSTEM;1;6335;1;active;09.09.2016;09.09.2016;18.09.2016;100001335;6335
16;100001336;CARDSYSTEM;1;6336;1;active;04.12.2013;04.12.2013;11.12.2013;100001336;6336
17;100001337;CARDSYSTEM;1;6337;1;active;20.01.2012;20.01.2012;29.01.2012;100001337;6337
18;100001338;CARDSYSTEM;1;6338;1;active;19.05.2015;19.05.2015;28.05.2015;100001338;6338
19;100001339;CARDSYSTEM;1;6339;1;active;17.06.2013;17.06.2013;23.06.2013;100001339;6339
20;100001340;CARDSYSTEM;1;6340;1;active;27.01.2013;27.01.2013;04.02.2013;100001340;6340
21;100001341;CARDSYSTEM;1;6341;1;active;01.03.2017;01.03.2017;10.03.2017;100001341;6341
22;100001342;CARDSYSTEM;1;6342;1;active;21.09.2016;21.09.2016;28.09.2016;100001342;6342
23;100001343;CARDSYSTEM;1;6343;1;active;09.04.2012;09.04.2012;16.04.2012;100001343;6343
24;100001344;CARDSYSTEM;1;6344;1;active;09.07.2012;09.07.2012;15.07.2012;100001344;6344
25;100001345;CARDSYSTEM;1;6345;1;active;21.01.2012;21.01.2012;29.01.2012;100001345;6345
26;100001346;CARDSYSTEM;1;6346;1;active;22.11.2013;22.11.2013;01.12.2013;100001346;6346
27;100001347;CARDSYSTEM;1;6347;1;active;24.03.2017;24.03.2017;31.03.2017;100001347;6347
28;100001348;CARDSYSTEM;1;6348;1;active;16.01.2013;16.01.2013;24.01.2013;100001348;6348
29;100001349;CARDSYSTEM;1;6349;1;active;22.11.2012;22.11.2012;29.11.2012;100001349;6349
30;100001350;CARDSYSTEM;1;6350;1;active;21.03.2013;21.03.2013;29.03.2013;100001350;6350
31;100001351;CARDSYSTEM;1;6351;1;active;14.10.2015;14.10.2015;23.10.2015;100001351;6351
32;100001352;CARDSYSTEM;1;6352;1;active;24.07.2013;24.07.2013;31.07.2013;100001352;6352
33;100001353;CARDSYSTEM;1;6353;1;active;10.11.2013;10.11.2013;17.11.2013;100001353;6353
34;100001354;CARDSYSTEM;1;6354;1;active;12.03.2017;12.03.2017;19.03.2017;100001354;6354
35;100001355;CARDSYSTEM;1;6355;1;active;24.05.2016;24.05.2016;30.05.2016;100001355;6355
36;100001356;CARDSYSTEM;1;6356;1;active;15.05.2012;15.05.2012;21.05.2012;100001356;6356
37;100001357;CARDSYSTEM;1;6357;1;active;28.01.2012;28.01.2012;02.02.2012;100001357;6357
38;100001358;CARDSYSTEM;1;6358;1;active;26.02.2016;26.02.2016;06.03.2016;100001358;6358
39;100001359;CARDSYSTEM;1;6359;1;active;20.11.2013;20.11.2013;26.11.2013;100001359;6359
40;100001360;CARDSYSTEM;1;6360;1;active;17.09.2012;17.09.2012;22.09.2012;100001360;6360
41;100001361;CARDSYSTEM;1;6361;1;active;28.09.2015;28.09.2015;07.10.2015;100001361;6361
42;100001362;CARDSYSTEM;1;6362;1;active;30.06.2016;30.06.2016;09.07.2016;100001362;6362
43;100001363;CARDSYSTEM;1;6363;1;active;27.11.2016;27.11.2016;02.12.2016;100001363;6363
44;100001364;CARDSYSTEM;1;6364;1;active;10.12.2014;10.12.2014;16.12.2014;100001364;6364
45;100001365;CARDSYSTEM;1;6365;1;active;22.09.2012;22.09.2012;27.09.2012;100001365;6365
46;100001366;CARDSYSTEM;1;6366;1;active;15.09.2015;15.09.2015;24.09.2015;100001366;6366
47;100001367;CARDSYSTEM;1;6367;1;active;28.07.2016;28.07.2016;03.08.2016;100001367;6367
48;100001368;CARDSYSTEM;1;6368;1;active;02.05.2014;02.05.2014;08.05.2014;100001368;6368
49;100001369;CARDSYSTEM;1;6369;1;active;20.12.2016;20.12.2016;25.12.2016;100001369;6369
50;100001370;CARDSYSTEM;1;6370;1;active;11.04.2012;11.04.2012;19.04.2012;100001370;6370
51;100001371;CARDSYSTEM;1;6371;1;active;26.09.2015;26.09.2015;03.10.2015;100001371;6371
52;100001372;CARDSYSTEM;1;6372;1;active;24.04.2016;24.04.2016;29.04.2016;100001372;6372
53;100001373;CARDSYSTEM;1;6373;1;active;07.01.2014;07.01.2014;16.01.2014;100001373;6373
54;100001374;CARDSYSTEM;1;6374;1;active;13.04.2017;13.04.2017;22.04.2017;100001374;6374
55;100001375;CARDSYSTEM;1;6375;1;active;03.03.2013;03.03.2013;09.03.2013;100001375;6375
56;100001376;CARDSYSTEM;1;6376;1;active;27.05.2013;27.05.2013;02.06.2013;100001376;6376
57;100001377;CARDSYSTEM;1;6377;1;active;19.07.2015;19.07.2015;24.07.2015;100001377;6377
58;100001378;CARDSYSTEM;1;6378;1;active;13.04.2015;13.04.2015;22.04.2015;100001378;6378
59;100001379;CARDSYSTEM;1;6379;1;active;09.03.2013;09.03.2013;16.03.2013;100001379;6379
60;100001380;CARDSYSTEM;1;6380;1;active;07.12.2015;07.12.2015;12.12.2015;100001380;6380
61;100001381;CARDSYSTEM;1;6381;1;active;24.09.2014;24.09.2014;01.10.2014;100001381;6381
62;100001382;CARDSYSTEM;1;6382;1;active;24.08.2015;24.08.2015;31.08.2015;100001382;6382
63;100001383;CARDSYSTEM;1;6383;1;active;19.05.2012;19.05.2012;26.05.2012;100001383;6383
64;100001384;CARDSYSTEM;1;6384;1;active;11.11.2013;11.11.2013;20.11.2013;100001384;6384
65;100001385;CARDSYSTEM;1;6385;1;active;07.08.2012;07.08.2012;12.08.2012;100001385;6385
66;100001386;CARDSYSTEM;1;6386;1;active;13.03.2014;13.03.2014;22.03.2014;100001386;6386
67;100001387;CARDSYSTEM;1;6387;1;active;12.02.2017;12.02.2017;18.02.2017;100001387;6387
68;100001388;CARDSYSTEM;1;6388;1;active;10.04.2017;10.04.2017;18.04.2017;100001388;6388
69;100001389;CARDSYSTEM;1;6389;1;active;17.09.2014;17.09.2014;26.09.2014;100001389;6389
70;100001390;CARDSYSTEM;1;6390;1;active;23.11.2013;23.11.2013;29.11.2013;100001390;6390
71;100001391;CARDSYSTEM;1;6391;1;active;23.01.2013;23.01.2013;28.01.2013;100001391;6391
72;100001392;CARDSYSTEM;1;6392;1;active;21.09.2013;21.09.2013;26.09.2013;100001392;6392
73;100001393;CARDSYSTEM;1;6393;1;active;27.10.2016;27.10.2016;05.11.2016;100001393;6393
74;100001394;CARDSYSTEM;1;6394;1;active;09.04.2016;09.04.2016;18.04.2016;100001394;6394
75;100001395;CARDSYSTEM;1;6395;1;active;07.02.2013;07.02.2013;14.02.2013;100001395;6395
76;100001396;CARDSYSTEM;1;6396;1;active;05.03.2016;05.03.2016;14.03.2016;100001396;6396
77;100001397;CARDSYSTEM;1;6397;1;active;22.08.2015;22.08.2015;27.08.2015;100001397;6397
78;100001398;CARDSYSTEM;1;6398;1;active;22.07.2016;22.07.2016;30.07.2016;100001398;6398
79;100001399;CARDSYSTEM;1;6399;1;active;13.01.2014;13.01.2014;18.01.2014;100001399;6399
80;100001400;CARDSYSTEM;1;6400;1;active;06.08.2016;06.08.2016;15.08.2016;100001400;6400
81;100001401;CARDSYSTEM;1;6401;1;active;04.04.2012;04.04.2012;09.04.2012;100001401;6401
82;100001402;CARDSYSTEM;1;6402;1;active;12.03.2016;12.03.2016;17.03.2016;100001402;6402
83;100001403;CARDSYSTEM;1;6403;1;active;03.07.2014;03.07.2014;09.07.2014;100001403;6403
84;100001404;CARDSYSTEM;1;6404;1;active;09.03.2014;09.03.2014;15.03.2014;100001404;6404
85;100001405;CARDSYSTEM;1;6405;1;active;04.05.2017;04.05.2017;10.05.2017;100001405;6405
86;100001406;CARDSYSTEM;1;6406;1;active;24.05.2014;24.05.2014;29.05.2014;100001406;6406
87;100001407;CARDSYSTEM;1;6407;1;active;10.08.2012;10.08.2012;19.08.2012;100001407;6407
88;100001408;CARDSYSTEM;1;6408;1;active;13.01.2015;13.01.2015;20.01.2015;100001408;6408
89;100001409;CARDSYSTEM;1;6409;1;active;18.09.2016;18.09.2016;23.09.2016;100001409;6409
90;100001410;CARDSYSTEM;1;6410;1;active;22.02.2013;22.02.2013;02.03.2013;100001410;6410
91;100001411;CARDSYSTEM;1;6411;1;active;03.04.2013;03.04.2013;10.04.2013;100001411;6411
92;100001412;CARDSYSTEM;1;6412;1;active;28.09.2014;28.09.2014;07.10.2014;100001412;6412
93;100001413;CARDSYSTEM;1;6413;1;active;26.12.2016;26.12.2016;04.01.2017;100001413;6413
94;100001414;CARDSYSTEM;1;6414;1;active;18.08.2016;18.08.2016;23.08.2016;100001414;6414
95;100001415;CARDSYSTEM;1;6415;1;active;12.05.2012;12.05.2012;20.05.2012;100001415;6415
96;100001416;CARDSYSTEM;1;6416;1;active;04.02.2014;04.02.2014;13.02.2014;100001416;6416
97;100001417;CARDSYSTEM;1;6417;1;active;27.10.2012;27.10.2012;03.11.2012;100001417;6417
98;100001418;CARDSYSTEM;1;6418;1;active;11.09.2016;11.09.2016;17.09.2016;100001418;6418
99;100001419;CARDSYSTEM;1;6419;1;active;15.10.2014;15.10.2014;24.10.2014;100001419;6419
100;100001420;CARDSYSTEM;1;6420;1;active;02.02.2013;02.02.2013;09.02.2013;100001420;6420
101;100001421;CARDSYSTEM;1;6421;1;active;04.03.2017;04.03.2017;13.03.2017;100001421;6421
102;100001422;CARDSYSTEM;1;6422;1;active;30.05.2017;30.05.2017;07.06.2017;100001422;6422
103;100001423;CARDSYSTEM;1;6423;1;active;03.09.2012;03.09.2012;10.09.2012;100001423;6423
104;100001424;CARDSYSTEM;1;6424;1;active;12.08.2013;12.08.2013;17.08.2013;100001424;6424
105;100001425;CARDSYSTEM;1;6425;1;active;15.05.2012;15.05.2012;24.05.2012;100001425;6425
106;100001426;CARDSYSTEM;1;6426;1;active;15.03.2014;15.03.2014;24.03.2014;100001426;6426
107;100001427;CARDSYSTEM;1;6427;1;active;17.02.2016;17.02.2016;24.02.2016;100001427;6427
108;100001428;CARDSYSTEM;1;6428;1;active;10.08.2013;10.08.2013;15.08.2013;100001428;6428
109;100001429;CARDSYSTEM;1;6429;1;active;22.12.2012;22.12.2012;29.12.2012;100001429;6429
110;100001430;CARDSYSTEM;1;6430;1;active;04.01.2013;04.01.2013;12.01.2013;100001430;6430
111;100001431;CARDSYSTEM;1;6431;1;active;15.06.2014;15.06.2014;22.06.2014;100001431;6431
112;100001432;CARDSYSTEM;1;6432;1;active;18.01.2014;18.01.2014;26.01.2014;100001432;6432
113;100001433;CARDSYSTEM;1;6433;1;active;20.02.2012;20.02.2012;25.02.2012;100001433;6433
114;100001434;CARDSYSTEM;1;6434;1;active;11.09.2014;11.09.2014;16.09.2014;100001434;6434
115;100001435;CARDSYSTEM;1;6435;1;active;17.02.2014;17.02.2014;22.02.2014;100001435;6435
116;100001436;CARDSYSTEM;1;6436;1;active;21.08.2013;21.08.2013;26.08.2013;100001436;6436
117;100001437;CARDSYSTEM;1;6437;1;active;05.12.2013;05.12.2013;10.12.2013;100001437;6437
118;100001438;CARDSYSTEM;1;6438;1;active;07.05.2017;07.05.2017;13.05.2017;100001438;6438
119;100001439;CARDSYSTEM;1;6439;1;active;01.06.2013;01.06.2013;09.06.2013;100001439;6439
120;100001440;CARDSYSTEM;1;6440;1;active;20.11.2015;20.11.2015;29.11.2015;100001440;6440
121;100001441;CARDSYSTEM;1;6441;1;active;24.02.2014;24.02.2014;05.03.2014;100001441;6441
122;100001442;CARDSYSTEM;1;6442;1;active;09.06.2017;09.06.2017;18.06.2017;100001442;6442
123;100001443;CARDSYSTEM;1;6443;1;active;15.06.2017;15.06.2017;20.06.2017;100001443;6443
124;100001444;CARDSYSTEM;1;6444;1;active;03.02.2016;03.02.2016;09.02.2016;100001444;6444
125;100001445;CARDSYSTEM;1;6445;1;active;20.06.2013;20.06.2013;28.06.2013;100001445;6445
126;100001446;CARDSYSTEM;1;6446;1;active;14.08.2014;14.08.2014;21.08.2014;100001446;6446
127;100001447;CARDSYSTEM;1;6447;1;active;09.06.2014;09.06.2014;17.06.2014;100001447;6447
128;100001448;CARDSYSTEM;1;6448;1;active;22.04.2017;22.04.2017;30.04.2017;100001448;6448
129;100001449;CARDSYSTEM;1;6449;1;active;17.10.2013;17.10.2013;22.10.2013;100001449;6449
130;100001450;CARDSYSTEM;1;6450;1;active;18.11.2015;18.11.2015;25.11.2015;100001450;6450
131;100001451;CARDSYSTEM;1;6451;1;active;10.12.2015;10.12.2015;16.12.2015;100001451;6451
132;100001452;CARDSYSTEM;1;6452;1;active;29.02.2012;29.02.2012;08.03.2012;100001452;6452
133;100001453;CARDSYSTEM;1;6453;1;active;20.08.2012;20.08.2012;25.08.2012;100001453;6453
134;100001454;CARDSYSTEM;1;6454;1;active;15.02.2017;15.02.2017;24.02.2017;100001454;6454
135;100001455;CARDSYSTEM;1;6455;1;active;01.06.2014;01.06.2014;08.06.2014;100001455;6455
136;100001456;CARDSYSTEM;1;6456;1;active;30.12.2016;30.12.2016;08.01.2017;100001456;6456
137;100001457;CARDSYSTEM;1;6457;1;active;10.01.2016;10.01.2016;17.01.2016;100001457;6457
138;100001458;CARDSYSTEM;1;6458;1;active;26.02.2014;26.02.2014;04.03.2014;100001458;6458
