;FINANCIALCONTRACTID;SOURCESYSTEM;BUSINESSPARTNERID2;DESCRIPTION;COMPANYROLE;COUNTERPARTYROLE;GOVERNINGLAWCOUNTRY;SIGNINGDATE;BANKINGBOOKORTRADINGBOOK;ASSOCIATEDPROJECT;AGREEDSTARTDATE;CLOSINGDATE;SEGREGATIONTYPE;CURRENCY3;ACCOUNTOPENINGDATE3;BUSINESSPARTNER
1;100001192;CARDSYSTEM;6192;CardAgreement;CardIssuer;MainCardHolder;US;04.02.2012;Banking;;04.02.2012;;;USD;;
2;100001193;CARDSYSTEM;6193;CardAgreement;CardIssuer;MainCardHolder;US;08.03.2016;Banking;;08.03.2016;;;USD;;
3;100001194;CARDSYSTEM;6194;CardAgreement;CardIssuer;MainCardHolder;US;23.04.2013;Banking;;23.04.2013;;;USD;;
4;100001195;CARDSYSTEM;6195;CardAgreement;CardIssuer;MainCardHolder;US;21.05.2015;Banking;;21.05.2015;;;USD;;
5;100001196;CARDSYSTEM;6196;CardAgreement;CardIssuer;MainCardHolder;US;16.04.2012;Banking;;16.04.2012;;;USD;;
6;100001197;CARDSYSTEM;6197;CardAgreement;CardIssuer;MainCardHolder;US;22.07.2016;Banking;;22.07.2016;;;USD;;
7;100001198;CARDSYSTEM;6198;CardAgreement;CardIssuer;MainCardHolder;US;10.07.2014;Banking;;10.07.2014;;;USD;;
8;100001199;CARDSYSTEM;6199;CardAgreement;CardIssuer;MainCardHolder;US;01.09.2012;Banking;;01.09.2012;;;USD;;
9;100001200;CARDSYSTEM;6200;CardAgreement;CardIssuer;MainCardHolder;US;26.07.2014;Banking;;26.07.2014;;;USD;;
10;100001201;CARDSYSTEM;6201;CardAgreement;CardIssuer;MainCardHolder;US;28.01.2016;Banking;;28.01.2016;;;USD;;
11;100001202;CARDSYSTEM;6202;CardAgreement;CardIssuer;MainCardHolder;US;03.05.2012;Banking;;03.05.2012;;;USD;;
12;100001203;CARDSYSTEM;6203;CardAgreement;CardIssuer;MainCardHolder;US;26.03.2014;Banking;;26.03.2014;;;USD;;
13;100001204;CARDSYSTEM;6204;CardAgreement;CardIssuer;MainCardHolder;US;25.06.2015;Banking;;25.06.2015;;;USD;;
14;100001205;CARDSYSTEM;6205;CardAgreement;CardIssuer;MainCardHolder;US;28.09.2013;Banking;;28.09.2013;;;USD;;
15;100001206;CARDSYSTEM;6206;CardAgreement;CardIssuer;MainCardHolder;US;16.06.2015;Banking;;16.06.2015;;;USD;;
16;100001207;CARDSYSTEM;6207;CardAgreement;CardIssuer;MainCardHolder;US;05.12.2015;Banking;;05.12.2015;;;USD;;
17;100001208;CARDSYSTEM;6208;CardAgreement;CardIssuer;MainCardHolder;US;11.06.2014;Banking;;11.06.2014;;;USD;;
18;100001209;CARDSYSTEM;6209;CardAgreement;CardIssuer;MainCardHolder;US;08.12.2014;Banking;;08.12.2014;;;USD;;
19;100001210;CARDSYSTEM;6210;CardAgreement;CardIssuer;MainCardHolder;US;26.09.2012;Banking;;26.09.2012;;;USD;;
20;100001211;CARDSYSTEM;6211;CardAgreement;CardIssuer;MainCardHolder;US;23.04.2015;Banking;;23.04.2015;;;USD;;
21;100001212;CARDSYSTEM;6212;CardAgreement;CardIssuer;MainCardHolder;US;20.09.2016;Banking;;20.09.2016;;;USD;;
22;100001213;CARDSYSTEM;6213;CardAgreement;CardIssuer;MainCardHolder;US;26.01.2012;Banking;;26.01.2012;;;USD;;
23;100001214;CARDSYSTEM;6214;CardAgreement;CardIssuer;MainCardHolder;US;26.07.2014;Banking;;26.07.2014;;;USD;;
24;100001215;CARDSYSTEM;6215;CardAgreement;CardIssuer;MainCardHolder;US;29.01.2015;Banking;;29.01.2015;;;USD;;
25;100001216;CARDSYSTEM;6216;CardAgreement;CardIssuer;MainCardHolder;US;19.03.2014;Banking;;19.03.2014;;;USD;;
26;100001217;CARDSYSTEM;6217;CardAgreement;CardIssuer;MainCardHolder;US;25.06.2016;Banking;;25.06.2016;;;USD;;
27;100001218;CARDSYSTEM;6218;CardAgreement;CardIssuer;MainCardHolder;US;24.04.2012;Banking;;24.04.2012;;;USD;;
28;100001219;CARDSYSTEM;6219;CardAgreement;CardIssuer;MainCardHolder;US;15.02.2016;Banking;;15.02.2016;;;USD;;
29;100001220;CARDSYSTEM;6220;CardAgreement;CardIssuer;MainCardHolder;US;19.12.2012;Banking;;19.12.2012;;;USD;;
30;100001221;CARDSYSTEM;6221;CardAgreement;CardIssuer;MainCardHolder;US;17.09.2016;Banking;;17.09.2016;;;USD;;
31;100001222;CARDSYSTEM;6222;CardAgreement;CardIssuer;MainCardHolder;US;23.08.2014;Banking;;23.08.2014;;;USD;;
32;100001223;CARDSYSTEM;6223;CardAgreement;CardIssuer;MainCardHolder;US;16.07.2015;Banking;;16.07.2015;;;USD;;
33;100001224;CARDSYSTEM;6224;CardAgreement;CardIssuer;MainCardHolder;US;20.02.2012;Banking;;20.02.2012;;;USD;;
34;100001225;CARDSYSTEM;6225;CardAgreement;CardIssuer;MainCardHolder;US;04.06.2014;Banking;;04.06.2014;;;USD;;
35;100001226;CARDSYSTEM;6226;CardAgreement;CardIssuer;MainCardHolder;US;04.09.2014;Banking;;04.09.2014;;;USD;;
36;100001227;CARDSYSTEM;6227;CardAgreement;CardIssuer;MainCardHolder;US;30.01.2015;Banking;;30.01.2015;;;USD;;
37;100001228;CARDSYSTEM;6228;CardAgreement;CardIssuer;MainCardHolder;US;16.09.2016;Banking;;16.09.2016;;;USD;;
38;100001229;CARDSYSTEM;6229;CardAgreement;CardIssuer;MainCardHolder;US;16.04.2016;Banking;;16.04.2016;;;USD;;
39;100001230;CARDSYSTEM;6230;CardAgreement;CardIssuer;MainCardHolder;US;30.11.2013;Banking;;30.11.2013;;;USD;;
40;100001231;CARDSYSTEM;6231;CardAgreement;CardIssuer;MainCardHolder;US;24.03.2014;Banking;;24.03.2014;;;USD;;
41;100001232;CARDSYSTEM;6232;CardAgreement;CardIssuer;MainCardHolder;US;09.03.2013;Banking;;09.03.2013;;;USD;;
42;100001233;CARDSYSTEM;6233;CardAgreement;CardIssuer;MainCardHolder;US;27.06.2015;Banking;;27.06.2015;;;USD;;
43;100001234;CARDSYSTEM;6234;CardAgreement;CardIssuer;MainCardHolder;US;12.04.2014;Banking;;12.04.2014;;;USD;;
